path,label,keep,group_id,sha256,phash,width,height,mode,format,bytes,fold
Potato___Early_blight/0ede4acd-3685-40d9-b52b-7b3cb6536fa8___RS_Early.B 7377.JPG,Potato___Early_blight,True,55,ef20ccc79808e1750a56a689e1d1270fe7364b1317b9e75bad4e0cbac5f77793,dbb529daa48cb119,256,256,RGB,JPEG,16149,4
Potato___Early_blight/0f223bbc-d2b4-4d58-8314-359d92d0102b___RS_Early.B 8052.JPG,Potato___Early_blight,True,56,9be3e258ed52aabe7eb0d0f7674d4492633eab46c33f93ab269f6cab65b48969,bea5d09bca99c914,256,256,RGB,JPEG,20001,1
Potato___Early_blight/0f9c098f-a6df-4a73-8c14-8e7d4dbb1b0b___RS_Early.B 7991.JPG,Potato___Early_blight,True,57,b72edd1604d66eeb6c3ad3b9faffbb7aeb5e3ea36775dbb9323b986bd74bf8d6,eb52a80afe2dd815,256,256,RGB,JPEG,20630,2
Potato___Early_blight/0faca7fe-7254-4dfa-8388-bbc776338c9c___RS_Early.B 7929.JPG,Potato___Early_blight,True,58,450e479055e777d6098da4182056c4c1f1bd3d2dc44fe9ca5b841d90d1f14c39,aaf2bdc980859f94,256,256,RGB,JPEG,21551,0
Potato___Early_blight/0fd22207-cb37-42a1-965f-7dfe43f9d579___RS_Early.B 6876.JPG,Potato___Early_blight,True,59,10355feb52666b9f46a1ac2c39ba0c9859114e57bb5ffa98105ac3441a516a26,fc0a613f9712da49,256,256,RGB,JPEG,20667,1
Potato___Early_blight/107827b3-faa5-457c-97fd-3e34d2657f6b___RS_Early.B 7162.JPG,Potato___Early_blight,True,60,ce6f10fb4f4e4ce3a3826102b8b4d4886d8d44e2813fb4483cc9b7f1391b9f2a,ab05b05ecb7a9561,256,256,RGB,JPEG,20017,2
Potato___Early_blight/1082eee1-189d-4e0f-96b5-8b1393be4c4c___RS_Early.B 8743.JPG,Potato___Early_blight,True,61,816e0114f8f62e7b830950c3c8a250098082ff2003c6f645b95f04ed7e2b0ab2,ae50e4e5811bdd99,256,256,RGB,JPEG,18555,4
Potato___Early_blight/109730cd-03f3-4139-a464-5f9151483e8c___RS_Early.B 6738.JPG,Potato___Early_blight,True,62,b400e5c28a538440a851f3d4e2058d4215079b10b7a44c4687df713480938987,f969319cc6721b29,256,256,RGB,JPEG,22064,1
Potato___Early_blight/10a3920b-dd04-406d-8bbd-f92f221e4dee___RS_Early.B 7035.JPG,Potato___Early_blight,True,63,ad9b3e755920c6326fe71619cf0d4c50c16e1a25541318d38d9d267e93ad1204,abc0948f6699d31d,256,256,RGB,JPEG,19352,3
Potato___Early_blight/10c438df-8ed7-4de7-94df-83298ebcf373___RS_Early.B 7001.JPG,Potato___Early_blight,True,64,36586297bd46a93fc7b08c70561ad3db7075a559d06b399e9c3519d9e50fc48e,aa916d97f05a8578,256,256,RGB,JPEG,20482,0
Potato___Early_blight/1131b92e-ef46-441e-ac5f-c18ac09bf69a___RS_Early.B 8064.JPG,Potato___Early_blight,True,65,bf100d4f7f2c7e9c32c029b55d00ca48cd4c078d7539193bfe44a68f07f38970,9abbbd15805acbe0,256,256,RGB,JPEG,20679,2
Potato___Early_blight/1132bee0-fe6b-41a9-9583-7b959c2ca25f___RS_Early.B 7482.JPG,Potato___Early_blight,True,66,6f0c2bc94bc9a0ffbbd632b2ecc5a03fc52cc8583044c8885c6ddd9b9525f2ae,f8c08bda9cb3b225,256,256,RGB,JPEG,17884,3
Potato___Early_blight/11e974fa-928f-45f6-b983-e74c74c7d163___RS_Early.B 7992.JPG,Potato___Early_blight,True,67,4bb9b646ee4641091996a951e06036836095064a0e9cd346f1cf67ea6105f8f0,f774aa06a52f910e,256,256,RGB,JPEG,21734,4
Potato___Early_blight/12429fa8-02ea-4017-88ef-b2d219b892f7___RS_Early.B 6916.JPG,Potato___Early_blight,True,68,8c9fbfd38d3b85036e62549326d02c22e006a886732b6bebd56efe633ff8548e,883dfdc086c3f20f,256,256,RGB,JPEG,21631,0
Potato___Early_blight/12826416-efc5-49d3-b615-731629c95435___RS_Early.B 7215.JPG,Potato___Early_blight,True,69,97a1423a93ce704bee59d257ef6c8e438cce3a57edd2724b2805d850a6b72040,bb34b531707ab321,256,256,RGB,JPEG,18800,1
Potato___Early_blight/129b1c3a-4f7d-4c45-ae03-2a4c3eb17dd4___RS_Early.B 7413.JPG,Potato___Early_blight,True,70,6f878152876fa15395b12ec25047631291573ae49141a3bd1b5f806a9929fbc6,fe54e54bd20d8a34,256,256,RGB,JPEG,21004,2
Potato___Early_blight/12a7bc09-8d7f-4790-8046-6e3f12f71399___RS_Early.B 7973.JPG,Potato___Early_blight,True,71,f2d0e3fa8c0f0f7d676f98fcc702fe6c55f96f380a225000070b1851f2f62bb7,ff0fa3309c47924a,256,256,RGB,JPEG,20232,4
Potato___Early_blight/12ebe6fe-c8ce-4a00-866f-8776aca75159___RS_Early.B 6873.JPG,Potato___Early_blight,True,72,e53190617b9033952fa5e419ffd71b74914708c005c53173b69ad90a28a5f944,bfe03093d09e53c9,256,256,RGB,JPEG,21283,3
Potato___Early_blight/12f7b8bd-7aab-48de-ba2e-d2562408542f___RS_Early.B 7386.JPG,Potato___Early_blight,True,73,959b3fd469f6477d36e431339c3f4519b42ca8027497d11c0308160b26b1ac63,eadb24c8936d5866,256,256,RGB,JPEG,17174,0
Potato___Early_blight/1328ae8b-76e1-42e9-a0c4-7dd0612fdf99___RS_Early.B 8303.JPG,Potato___Early_blight,True,74,3ee446c69521afbf1bcf98c447e1d5aae8af4521f0558389ba4fcd717a512c96,aef0c10b9e84f9b1,256,256,RGB,JPEG,18543,1
Potato___Early_blight/1367d3e9-74fe-4d61-ab24-dd389dcb5d54___RS_Early.B 8011.JPG,Potato___Early_blight,True,75,fb9b5e40d44d4528fa018a774accb374e72d7096e36e06860f287bf7b0af5f56,beb3a0d8c3398789,256,256,RGB,JPEG,19108,2
Potato___Early_blight/13cfb9dc-8951-44c0-8c16-e96fd6ccc659___RS_Early.B 7070.JPG,Potato___Early_blight,True,76,131304598b5f8399f69331d118bef20dba994593672c6be0aea7896b2e39f203,acec258977c9624d,256,256,RGB,JPEG,20595,3
Potato___Early_blight/13ddd965-db42-4392-9798-fe0ba5ad7928___RS_Early.B 7631.JPG,Potato___Early_blight,True,77,a7559d6bd94cbee8b7be92013e0c2ba47cba797b3ec08961ae31d1a2cb7cacd3,af64a466862eceb4,256,256,RGB,JPEG,19115,4
Potato___Early_blight/13e2be1d-56bc-40c6-b5d1-e3bafc1b111e___RS_Early.B 8830.JPG,Potato___Early_blight,True,78,5c8dddbed327f3a23a7f26564d31823063aa0b2b0e8c89c49fb3d1786b72977a,aae2a5a5b4959696,256,256,RGB,JPEG,18757,0
Potato___Early_blight/14efc692-8ac6-4bd8-a71a-943192d6831a___RS_Early.B 6841.JPG,Potato___Early_blight,True,79,795bac0ae6ea2a1195ee27d05fc2dfaf375084afd3343fde4a2c962cea834283,a020bb9fc87ec768,256,256,RGB,JPEG,23266,2
Potato___Early_blight/159f49c5-8d80-41cb-b730-333fdefdff62___RS_Early.B 7301.JPG,Potato___Early_blight,True,80,9c5d73d8f80513f4e9b1f9b16c23269118cc6f3f3672ca83e8c1a48c5c6c5c5d,8e66fc40e00dc7fc,256,256,RGB,JPEG,20485,4
Potato___Early_blight/15ab8118-01fb-4e9c-83a9-94ab224d6854___RS_Early.B 7962.JPG,Potato___Early_blight,True,81,daa7e99eee31072c7f2203be8c432f856352110a940355b9b12697a1c857b354,df54e00b94ad9ba4,256,256,RGB,JPEG,19620,1
Potato___Early_blight/16133ed7-f960-44a5-bd03-8e665e777363___RS_Early.B 7504.JPG,Potato___Early_blight,True,82,db992d1314fade69c5add174132f6d68a5a74bd41953a0a0ddfeded74152bc0e,89fa96e11f817e03,256,256,RGB,JPEG,16783,1
Potato___Early_blight/16a6f216-6d2a-48fe-b8bc-ff385c96d0d3___RS_Early.B 7220.JPG,Potato___Early_blight,True,83,89578618e93198e36af311bb58579482350a963090d8ca7ce20815268d4faf4f,aa8da5958678cc67,256,256,RGB,JPEG,17968,3
Potato___Early_blight/17520079-9d7b-481a-bc9e-676c5404d160___RS_Early.B 6774.JPG,Potato___Early_blight,True,84,5cffe3a571f251c8a3b766ac79d2a8e6d420cec180e10f7f4104c90e94558660,ebb42dc134cb340f,256,256,RGB,JPEG,17467,0
Potato___Early_blight/17667077-cf29-4976-9282-359c6da25cf6___RS_Early.B 6971.JPG,Potato___Early_blight,True,85,30978025fa1c5b1ed366b3c4e650e88dc264019a286b0189fd80f54132f32c5a,eab16dd835e096c4,256,256,RGB,JPEG,20613,2
Potato___Early_blight/1767fee7-18fd-4597-8c77-d41ec2d62f4e___RS_Early.B 6932.JPG,Potato___Early_blight,True,86,d98e0186173c6d1ac4d8bff0617aee96673c900bf3264d9d4a0598c1cd7ead20,8f69fc10f007037f,256,256,RGB,JPEG,23182,3
Potato___Early_blight/1769d41b-fd4c-49b1-adce-e89fee6a352e___RS_Early.B 6741.JPG,Potato___Early_blight,True,87,0aec5bf9f1f7d99a278188f974da87e57c80bf218911cf4d68faa5abe12ab8fb,82072f7fb5389278,256,256,RGB,JPEG,22864,4
Potato___Early_blight/17756ec1-9c95-43b3-bedc-933b6e0887f3___RS_Early.B 8251.JPG,Potato___Early_blight,True,88,ed99188fcd7fa5cc2de385d8e908d607e6cd3bc8260a5f64e71db095426646bd,f554d142de3aca32,256,256,RGB,JPEG,20972,0
Potato___Early_blight/17848019-6609-4cc9-b27b-c70b296ceb09___RS_Early.B 7049.JPG,Potato___Early_blight,True,89,4b066f22db7251991e09775500bda29fff42694d91dda916cd4b8758967d70b8,8996259e75cc16ad,256,256,RGB,JPEG,16537,1
Potato___Early_blight/1797b5ac-ed8b-4b35-bd01-f8a14d34d6e1___RS_Early.B 8812.JPG,Potato___Early_blight,True,90,9de415938d30da49bc60755343141d8a405887b5c437d3ea9103e0471bf41a30,aa6afd01c00fcb5e,256,256,RGB,JPEG,17440,2
Potato___Early_blight/17a06d03-8a7b-48a8-aaf9-3300741c65de___RS_Early.B 7625.JPG,Potato___Early_blight,True,91,9a36db6ef1af55d229ad6312c7eb8053b9e2b49fc6b18f23e02b4321215999ba,eaca90a5baa48db3,256,256,RGB,JPEG,20694,3
Potato___Early_blight/1896de06-b6eb-4c01-a6c6-3247405765b8___RS_Early.B 8335.JPG,Potato___Early_blight,True,92,a9b4378526407c963cc4e30ef5cdf58a937e9b6ae2542d4cc3c5e703322b2fb5,af97c59ac16485e2,256,256,RGB,JPEG,18460,4
Potato___Early_blight/192c9d29-4a86-457b-a779-1dd36f225a5b___RS_Early.B 8012.JPG,Potato___Early_blight,True,93,e6b42b6ccc258e4476cb78b91cb2ba9c2b3f28074acc36a9f6a39783f56b72f5,ff8f2094c6384ee1,256,256,RGB,JPEG,21193,0
Potato___Early_blight/1994cd3e-4000-4c56-bede-d35a1eecc287___RS_Early.B 6867.JPG,Potato___Early_blight,True,94,4d7a8ee1e4ab479c1b2d24526b849c23ac253b5ce72049614afce6d27f3d38e6,aa5af160c707ce1e,256,256,RGB,JPEG,23076,1
Potato___Early_blight/1a2970b6-bafd-4812-93bc-57ff969e1045___RS_Early.B 7330.JPG,Potato___Early_blight,True,95,0a320f6f0f0cee238f6e5a3f0419f09e66ac6f8404f40233a860888ece046b15,8a51fd3fc06047a7,256,256,RGB,JPEG,21966,2
Potato___Early_blight/1a38f06b-da2a-4c57-bef1-a73254896403___RS_Early.B 9178.JPG,Potato___Early_blight,True,96,02744fea6d0dd775566bff45de149e1a09b6793da9c3fd0e0a680e35fe9360ff,bf181760f04fcb46,256,256,RGB,JPEG,23670,3
Potato___Early_blight/1a77c047-7ed8-4f02-bfaf-a19e7a67c3dd___RS_Early.B 7076.JPG,Potato___Early_blight,True,97,cd78d6043548966142bbeb92cb14cb8ead67290fb3ac4a52efd808bb172c4e34,dd2ea8f5c1d0c2c3,256,256,RGB,JPEG,20169,4
Potato___Early_blight/1af20ff8-980d-4912-b337-804b09667de3___RS_Early.B 7392.JPG,Potato___Early_blight,True,98,6d044960862a1056600f45119cf29136ffe5e9072cb19c9a5ae6036a1e8690c2,da29f51e8a619547,256,256,RGB,JPEG,19501,3
Potato___Early_blight/1b0a2898-00b9-4a12-b4dc-a89b77b9e8b7___RS_Early.B 6928.JPG,Potato___Early_blight,True,99,47ec1477e488ab7916e0c00c637cbecab19f35d34b16ffd00f31ca88c34a38b2,d7e86a27af052554,256,256,RGB,JPEG,20319,0
